video_name,frame_index,timestamp_sec,timestamp_ms,gt_class,visibility_rate,is_abnormal_raw,is_occluded
abnorm1.mp4,0,0.0,0.0,NORMAL,0.7647058823529411,False,False
abnorm1.mp4,1,0.033,33.0,NORMAL,0.7647058823529411,False,False
abnorm1.mp4,2,0.067,67.0,NORMAL,0.9411764705882353,False,False
abnorm1.mp4,3,0.1,100.0,NORMAL,0.7647058823529411,False,False
abnorm1.mp4,4,0.133,133.0,NORMAL,0.7647058823529411,False,False
abnorm1.mp4,5,0.167,167.0,NORMAL,0.7058823529411765,False,False
abnorm1.mp4,6,0.2,200.0,NORMAL,0.7058823529411765,False,False
abnorm1.mp4,7,0.233,233.0,NORMAL,0.7647058823529411,False,False
abnorm1.mp4,8,0.267,267.0,NORMAL,0.8235294117647058,False,False
abnorm1.mp4,9,0.3,300.0,NORMAL,0.7647058823529411,False,False
abnorm1.mp4,10,0.333,333.0,NORMAL,0.7647058823529411,False,False
abnorm1.mp4,11,0.367,367.0,NORMAL,0.0,False,True
abnorm1.mp4,12,0.4,400.0,NORMAL,0.0,False,True
abnorm1.mp4,13,0.433,433.0,NORMAL,0.7058823529411765,False,False
abnorm1.mp4,14,0.467,467.0,NORMAL,0.9411764705882353,False,False
abnorm1.mp4,15,0.5,500.0,NORMAL,0.8823529411764706,False,False
abnorm1.mp4,16,0.533,533.0,NORMAL,0.7647058823529411,False,False
abnorm1.mp4,17,0.567,567.0,NORMAL,0.8823529411764706,False,False
abnorm1.mp4,18,0.6,600.0,NORMAL,0.8823529411764706,False,False
abnorm1.mp4,19,0.633,633.0,NORMAL,0.8235294117647058,False,False
abnorm1.mp4,20,0.667,667.0,NORMAL,0.8235294117647058,False,False
abnorm1.mp4,21,0.7,700.0,NORMAL,0.7647058823529411,False,False
abnorm1.mp4,22,0.733,733.0,NORMAL,0.7647058823529411,False,False
abnorm1.mp4,23,0.767,767.0,NORMAL,0.8235294117647058,False,False
abnorm1.mp4,24,0.8,800.0,NORMAL,0.8235294117647058,False,False
abnorm1.mp4,25,0.833,833.0,NORMAL,0.7647058823529411,False,False
abnorm1.mp4,26,0.867,867.0,NORMAL,0.7058823529411765,False,False
abnorm1.mp4,27,0.9,900.0,NORMAL,0.7647058823529411,False,False
abnorm1.mp4,28,0.933,933.0,NORMAL,0.7647058823529411,False,False
abnorm1.mp4,29,0.967,967.0,NORMAL,0.6470588235294118,False,True
abnorm1.mp4,30,1.0,1000.0,NORMAL,0.6470588235294118,False,True
abnorm1.mp4,31,1.033,1033.0,NORMAL,0.7647058823529411,False,False
abnorm1.mp4,32,1.067,1067.0,NORMAL,0.8823529411764706,False,False
abnorm1.mp4,33,1.1,1100.0,NORMAL,0.7058823529411765,False,False
abnorm1.mp4,34,1.133,1133.0,NORMAL,0.7058823529411765,False,False
abnorm1.mp4,35,1.167,1167.0,NORMAL,0.7647058823529411,False,False
abnorm1.mp4,36,1.2,1200.0,NORMAL,0.7647058823529411,False,False
abnorm1.mp4,37,1.233,1233.0,NORMAL,0.7058823529411765,False,False
abnorm1.mp4,38,1.267,1267.0,NORMAL,0.7647058823529411,False,False
abnorm1.mp4,39,1.3,1300.0,NORMAL,0.7058823529411765,False,False
abnorm1.mp4,40,1.333,1333.0,NORMAL,0.8823529411764706,False,False
abnorm1.mp4,41,1.367,1367.0,NORMAL,0.8823529411764706,False,False
abnorm1.mp4,42,1.4,1400.0,NORMAL,0.8823529411764706,False,False
