video_name,source_video,frame_index,timestamp_sec,gt_class,excluded_from_metrics
fall1.mp4,fall1.mp4,0,0.0,ABNORMAL_FLOOR_POSTURE,False
fall1.mp4,fall1.mp4,1,0.033,ABNORMAL_FLOOR_POSTURE,False
fall1.mp4,fall1.mp4,2,0.067,ABNORMAL_FLOOR_POSTURE,False
fall1.mp4,fall1.mp4,3,0.1,ABNORMAL_FLOOR_POSTURE,False
fall1.mp4,fall1.mp4,4,0.133,ABNORMAL_FLOOR_POSTURE,False
fall1.mp4,fall1.mp4,5,0.167,ABNORMAL_FLOOR_POSTURE,False
fall1.mp4,fall1.mp4,6,0.2,ABNORMAL_FLOOR_POSTURE,False
fall1.mp4,fall1.mp4,7,0.233,ABNORMAL_FLOOR_POSTURE,False
fall1.mp4,fall1.mp4,8,0.267,ABNORMAL_FLOOR_POSTURE,False
fall1.mp4,fall1.mp4,9,0.3,ABNORMAL_FLOOR_POSTURE,False
fall1.mp4,fall1.mp4,10,0.333,ABNORMAL_FLOOR_POSTURE,False
fall1.mp4,fall1.mp4,11,0.367,ABNORMAL_FLOOR_POSTURE,False
fall1.mp4,fall1.mp4,12,0.4,ABNORMAL_FLOOR_POSTURE,False
fall1.mp4,fall1.mp4,13,0.433,ABNORMAL_FLOOR_POSTURE,False
fall1.mp4,fall1.mp4,14,0.467,ABNORMAL_FLOOR_POSTURE,False
fall1.mp4,fall1.mp4,15,0.5,ABNORMAL_FLOOR_POSTURE,False
fall1.mp4,fall1.mp4,16,0.533,ABNORMAL_FLOOR_POSTURE,False
fall1.mp4,fall1.mp4,17,0.567,ABNORMAL_FLOOR_POSTURE,False
fall1.mp4,fall1.mp4,18,0.6,ABNORMAL_FLOOR_POSTURE,False
fall1.mp4,fall1.mp4,19,0.633,ABNORMAL_FLOOR_POSTURE,False
fall1.mp4,fall1.mp4,20,0.667,ABNORMAL_FLOOR_POSTURE,False
fall1.mp4,fall1.mp4,21,0.7,ABNORMAL_FLOOR_POSTURE,False
fall1.mp4,fall1.mp4,22,0.733,ABNORMAL_FLOOR_POSTURE,False
fall1.mp4,fall1.mp4,23,0.767,ABNORMAL_FLOOR_POSTURE,False
fall1.mp4,fall1.mp4,24,0.8,ABNORMAL_FLOOR_POSTURE,False
fall1.mp4,fall1.mp4,25,0.833,ABNORMAL_FLOOR_POSTURE,False
fall1.mp4,fall1.mp4,26,0.867,ABNORMAL_FLOOR_POSTURE,False
fall1.mp4,fall1.mp4,27,0.9,ABNORMAL_FLOOR_POSTURE,False
fall1.mp4,fall1.mp4,28,0.933,ABNORMAL_FLOOR_POSTURE,False
fall1.mp4,fall1.mp4,29,0.967,ABNORMAL_FLOOR_POSTURE,False
fall1.mp4,fall1.mp4,30,1.0,ABNORMAL_FLOOR_POSTURE,False
fall1.mp4,fall1.mp4,31,1.033,ABNORMAL_FLOOR_POSTURE,False
fall1.mp4,fall1.mp4,32,1.067,ABNORMAL_FLOOR_POSTURE,False
fall1.mp4,fall1.mp4,33,1.1,ABNORMAL_FLOOR_POSTURE,False
fall1.mp4,fall1.mp4,34,1.133,ABNORMAL_FLOOR_POSTURE,False
fall1.mp4,fall1.mp4,35,1.167,ABNORMAL_FLOOR_POSTURE,False
fall1.mp4,fall1.mp4,36,1.2,ABNORMAL_FLOOR_POSTURE,False
fall1.mp4,fall1.mp4,37,1.233,ABNORMAL_FLOOR_POSTURE,False
fall1.mp4,fall1.mp4,38,1.267,ABNORMAL_FLOOR_POSTURE,False
fall1.mp4,fall1.mp4,39,1.3,ABNORMAL_FLOOR_POSTURE,False
fall1.mp4,fall1.mp4,40,1.333,ABNORMAL_FLOOR_POSTURE,False
fall1.mp4,fall1.mp4,41,1.367,ABNORMAL_FLOOR_POSTURE,False
fall1.mp4,fall1.mp4,42,1.4,ABNORMAL_FLOOR_POSTURE,False
fall1.mp4,fall1.mp4,43,1.433,ABNORMAL_FLOOR_POSTURE,False
fall1.mp4,fall1.mp4,44,1.467,ABNORMAL_FLOOR_POSTURE,False
fall1.mp4,fall1.mp4,45,1.5,ABNORMAL_FLOOR_POSTURE,False
fall1.mp4,fall1.mp4,46,1.533,ABNORMAL_FLOOR_POSTURE,False
fall1.mp4,fall1.mp4,47,1.567,ABNORMAL_FLOOR_POSTURE,False
fall2.mp4,fall2.mp4,0,0.0,NORMAL,False
fall2.mp4,fall2.mp4,1,0.042,NORMAL,False
fall2.mp4,fall2.mp4,2,0.083,NORMAL,False
fall2.mp4,fall2.mp4,3,0.125,NORMAL,False
fall2.mp4,fall2.mp4,4,0.166,NORMAL,False
fall2.mp4,fall2.mp4,5,0.208,NORMAL,False
fall2.mp4,fall2.mp4,6,0.249,NORMAL,False
fall2.mp4,fall2.mp4,7,0.291,NORMAL,False
fall2.mp4,fall2.mp4,8,0.332,NORMAL,False
fall2.mp4,fall2.mp4,9,0.374,NORMAL,False
fall2.mp4,fall2.mp4,10,0.415,NORMAL,False
fall2.mp4,fall2.mp4,11,0.457,NORMAL,False
fall2.mp4,fall2.mp4,12,0.499,NORMAL,False
fall2.mp4,fall2.mp4,13,0.54,NORMAL,False
fall2.mp4,fall2.mp4,14,0.582,NORMAL,False
fall2.mp4,fall2.mp4,15,0.623,NORMAL,False
fall2.mp4,fall2.mp4,16,0.665,NORMAL,False
fall2.mp4,fall2.mp4,17,0.706,NORMAL,False
fall2.mp4,fall2.mp4,18,0.748,NORMAL,False
fall2.mp4,fall2.mp4,19,0.789,NORMAL,False
fall2.mp4,fall2.mp4,20,0.831,NORMAL,False
fall2.mp4,fall2.mp4,21,0.872,NORMAL,False
fall2.mp4,fall2.mp4,22,0.914,NORMAL,False
fall2.mp4,fall2.mp4,23,0.956,NORMAL,False
fall2.mp4,fall2.mp4,24,0.997,NORMAL,False
fall2.mp4,fall2.mp4,25,1.039,NORMAL,False
fall2.mp4,fall2.mp4,26,1.08,NORMAL,False
fall2.mp4,fall2.mp4,27,1.122,NORMAL,False
fall2.mp4,fall2.mp4,28,1.163,NORMAL,False
fall2.mp4,fall2.mp4,29,1.205,NORMAL,False
fall2.mp4,fall2.mp4,30,1.246,NORMAL,False
fall2.mp4,fall2.mp4,31,1.288,NORMAL,False
fall2.mp4,fall2.mp4,32,1.329,NORMAL,False
fall2.mp4,fall2.mp4,33,1.371,NORMAL,False
fall2.mp4,fall2.mp4,34,1.413,NORMAL,False
fall2.mp4,fall2.mp4,35,1.454,NORMAL,False
fall2.mp4,fall2.mp4,36,1.496,NORMAL,False
fall2.mp4,fall2.mp4,37,1.537,NORMAL,False
